Symbol,Name,Qty
AXP,American Express Company,8954
BA,The Boeing Company,5649
CAT,Caterpillar Inc.,10505
CSCO,Cisco Systems,9287
CVX,Chevron Corporation,8995
DD,E. I. du Pont de Nemours and Company,9445
DIS,The Walt Disney Company,8502
GE,General Electric Company,7825
GS,The Goldman Sachs Group,7023
HD,The Home Depot,8391
IBM,International Business Machines Corporation,10851
INTC,Intel Corporation,8608
JNJ,Johnson & Johnson,6999
JPM,JPMorgan Chase & Co.,6284
KO,The Coca-Cola Company,7133
MCD,McDonald's Corp.,6891
MMM,3M Company,5984
MRK,Merck & Co. Inc.,6985
MSFT,Microsoft Corporation,8143
NKE,Nike,10048
PFE,Pfizer Inc.,5434
PG,The Procter & Gamble Company,11209
T,AT&T,4961
TRV,The Travelers Companies,7752
UNH,UnitedHealth Group Incorporated,7511
UTX,United Technologies Corp.,10406
V,Visa Inc.,5423
VZ,Verizon Communications Inc.,10995
WMT,Wal-Mart Stores Inc.,8868
XOM,Exxon Mobil Corporation,9277
